# Exported by NS Web Analytics on 2025-12-18 21:51:58
# CSV Version=0.1.0
deviceTime,latitude,longitude,altitude,speed,accuracy,missionId,recordNumber,sourceAddress,destinationAddress,signalStrength,txPower,technology,supportedTechnologies,otaDeviceName,channel,deviceSerialNumber,locationAge,addressType,deviceClass,serviceUuids,companyId
2025-12-18T21:48:58.614074Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,325,C3:76:75:F5:56:92,,-77,0,,LE,Govee_H607C_5692,0,eb2c381c6eea8179,1690,,,,
2025-12-18T21:48:58.59663Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,324,4F:6C:FF:1A:42:F8,,-43,0,,DUAL,,0,eb2c381c6eea8179,1673,,,,
2025-12-18T21:48:58.555944Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,323,A8:51:AB:AE:7C:AB,,-72,0,,DUAL,,0,eb2c381c6eea8179,1632,,,,
2025-12-18T21:48:58.245754Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,322,CA:6A:A5:05:8C:27,,-66,0,,LE,Govee_H6604_8C27,0,eb2c381c6eea8179,1322,,,,
2025-12-18T21:48:58.221311Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,321,42:CA:3F:A3:F3:6C,,-77,0,,DUAL,,0,eb2c381c6eea8179,1298,,,,
2025-12-18T21:48:58.211036Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,320,4A:4D:01:41:76:3F,,-66,0,,LE,S3-Pro-I-763F,0,eb2c381c6eea8179,1287,,,,
2025-12-18T21:48:37.213849Z,42.152427,-88.025608,187.5,0,6,NS eb2c381c6eea8179 20251218-154456,319,6A:19:B1:05:90:C7,,-79,0,,DUAL,,0,eb2c381c6eea8179,4755,,,,
2025-12-18T21:48:35.951556Z,42.152427,-88.025608,187.5,0,6,NS eb2c381c6eea8179 20251218-154456,318,6C:D6:DB:70:B1:B7,,-98,0,,DUAL,,0,eb2c381c6eea8179,3493,,,,
2025-12-18T21:48:34.960535Z,42.152427,-88.025608,187.5,0,6,NS eb2c381c6eea8179 20251218-154456,317,61:91:85:6A:02:96,,-101,0,,DUAL,,0,eb2c381c6eea8179,2502,,,,
2025-12-18T21:48:34.931033Z,42.152427,-88.025608,187.5,0,6,NS eb2c381c6eea8179 20251218-154456,316,65:53:D1:82:9A:34,,-82,0,,DUAL,,0,eb2c381c6eea8179,2472,,,,
2025-12-18T21:48:33.959122Z,42.152427,-88.025608,187.5,0,6,NS eb2c381c6eea8179 20251218-154456,315,D4:AD:FC:83:CA:6F,,-100,0,,LE,ihoment_H7135_CA6F,0,eb2c381c6eea8179,1500,,,,
2025-12-18T21:48:33.955838Z,42.152427,-88.025608,187.5,0,6,NS eb2c381c6eea8179 20251218-154456,314,38:A5:C9:B3:2A:60,,-97,0,,LE,TY,0,eb2c381c6eea8179,1497,,,,
2025-12-18T21:48:33.688489Z,42.152427,-88.025608,187.5,0,6,NS eb2c381c6eea8179 20251218-154456,313,7F:AF:70:8C:7A:0F,,-97,0,,DUAL,,0,eb2c381c6eea8179,1230,,,,
2025-12-18T21:48:33.350346Z,42.152427,-88.025608,187.5,0,6,NS eb2c381c6eea8179 20251218-154456,312,5F:A5:C7:F6:9F:11,,-97,0,,DUAL,,0,eb2c381c6eea8179,892,,,,
